gene.ID,Base.Mean,log2.FC.,StdErr,Wald.Stats,P.value,P.adj,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V16
vnz_00640,343.95108,3.7792998,0.5278882,7.1592804,8.11e-13,2.81e-11,CP018074.1,145074,145075,TSS_00098,45,-,CP018074.1,Genbank,gene,140917,142437,.,+,.,2638
vnz_01210,846.8743,6.3746404,0.4607273,13.836038,1.54e-43,9.11e-41,CP018074.1,267121,267122,TSS_00156,31,+,CP018074.1,Genbank,gene,267562,267930,.,-,.,440
vnz_01525,83.563538,3.387596,0.4916914,6.8896794,5.59e-12,1.73e-10,CP018074.1,343356,343357,TSS_00325,35,+,CP018074.1,Genbank,gene,346639,348036,.,-,.,3282
vnz_01565,122.31306,4.7458953,0.5817444,8.1580419,3.4e-16,1.75e-14,CP018074.1,356254,356255,TSS_00328,189,+,CP018074.1,Genbank,gene,356634,358004,.,-,.,379
vnz_01635,419.76443,7.545157,0.6585274,11.457621,2.15e-30,3.63e-28,CP018074.1,371738,371739,TSS_00340,77,+,CP018074.1,Genbank,gene,372655,372954,.,-,.,916
vnz_01740,58.191811,2.3248858,0.6357254,3.65706,0.0002551,0.002059,CP018074.1,395291,395292,TSS_00364,71,+,CP018074.1,Genbank,gene,396091,397266,.,-,.,799
vnz_01840,64.765119,2.6989481,0.6942083,3.8878073,0.0001012,0.0009226,CP018074.1,416733,416734,TSS_00379,257,-,CP018074.1,Genbank,gene,415346,415789,.,+,.,945
vnz_01845,86.861126,2.4137112,0.5237495,4.6085225,4.06e-06,5.09e-05,CP018074.1,415304,415305,TSS_00378,99,+,CP018074.1,Genbank,gene,416090,416734,.,-,.,785
vnz_01955,133.9567,6.349365,0.7110776,8.9292156,4.29e-19,2.81e-17,CP018074.1,436275,436276,TSS_00389,1271,+,CP018074.1,Genbank,gene,437917,439257,.,-,.,1641
vnz_01955,133.9567,6.349365,0.7110776,8.9292156,4.29e-19,2.81e-17,CP018074.1,436207,436208,TSS_00388,32,+,CP018074.1,Genbank,gene,437917,439257,.,-,.,1709
vnz_02060,91.051448,4.0541855,0.6893809,5.8809076,4.08e-09,8.75e-08,CP018074.1,461510,461511,TSS_00404,61,+,CP018074.1,Genbank,gene,463486,464943,.,-,.,1975
vnz_02620,195.18305,6.3764778,0.6906823,9.2321431,2.65e-20,1.84e-18,CP018074.1,632665,632666,TSS_00471,61,-,CP018074.1,Genbank,gene,629846,630325,.,+,.,2341
vnz_02620,195.18305,6.3764778,0.6906823,9.2321431,2.65e-20,1.84e-18,CP018074.1,632545,632546,TSS_00470,59,-,CP018074.1,Genbank,gene,629846,630325,.,+,.,2221
vnz_02645,269.19006,-2.4885695,0.3774128,-6.5937609,4.29e-11,1.17e-09,CP018074.1,635821,635822,TSS_00490,55,+,CP018074.1,Genbank,gene,635677,636300,.,-,.,1
vnz_02660,1294.7454,-2.69699,0.3156772,-8.5435049,1.3e-17,7.74e-16,CP018074.1,637071,637072,TSS_00539,40,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02665,64.120886,3.9862554,0.5803365,6.8688687,6.47e-12,1.97e-10,CP018074.1,637071,637072,TSS_00539,40,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,1793
vnz_03985,314.79051,-2.0157329,0.4641512,-4.3428371,1.41e-05,0.0001565,CP018074.1,952624,952625,TSS_00834,73,+,CP018074.1,Genbank,gene,954527,956053,.,-,.,1902
vnz_04175,79.946852,2.1084499,0.6964158,3.0275734,0.0024653,0.0147374,CP018074.1,993371,993372,TSS_00869,688,+,CP018074.1,Genbank,gene,994750,995976,.,-,.,1378
