gene.ID,Base.Mean,log2.FC.,StdErr,Wald.Stats,P.value,P.adj,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V16
vnz_00080,99.84377,5.5274768,0.6488105,8.5194009,1.6e-17,7.89e-16,CP018074.1,17937,17938,TSS_00032,74,-,CP018074.1,Genbank,gene,14532,15020,.,+,.,2918
vnz_00080,99.84377,5.5274768,0.6488105,8.5194009,1.6e-17,7.89e-16,CP018074.1,14566,14567,TSS_00025,34,-,CP018074.1,Genbank,gene,14532,15020,.,+,.,1
vnz_00235,73.801216,4.6006282,0.7223884,6.368635,1.91e-10,3.74e-09,CP018074.1,56427,56428,TSS_00051,1304,-,CP018074.1,Genbank,gene,52914,54080,.,+,.,2348
vnz_00640,343.95108,3.963421,0.6144773,6.4500691,1.12e-10,2.26e-09,CP018074.1,145074,145075,TSS_00098,45,-,CP018074.1,Genbank,gene,140917,142437,.,+,.,2638
vnz_01275,98.74601,2.6893774,0.5314588,5.0603687,4.18e-07,4.74e-06,CP018074.1,285714,285715,TSS_00193,98,-,CP018074.1,Genbank,gene,281525,283444,.,+,.,2271
vnz_01280,953.15588,4.3622563,0.446382,9.7724735,1.48e-22,1.28e-20,CP018074.1,290017,290018,TSS_00196,36,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,4227
vnz_01280,953.15588,4.3622563,0.446382,9.7724735,1.48e-22,1.28e-20,CP018074.1,285714,285715,TSS_00193,98,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,1
vnz_01280,953.15588,4.3622563,0.446382,9.7724735,1.48e-22,1.28e-20,CP018074.1,290648,290649,TSS_00197,134,-,CP018074.1,Genbank,gene,283605,285791,.,+,.,4858
vnz_01525,83.563538,2.2185922,0.558651,3.9713383,7.15e-05,0.0005446,CP018074.1,343356,343357,TSS_00325,35,+,CP018074.1,Genbank,gene,346639,348036,.,-,.,3282
vnz_01585,156.84896,3.2122337,0.4299949,7.4703989,8e-14,2.53e-12,CP018074.1,361233,361234,TSS_00330,127,+,CP018074.1,Genbank,gene,361768,362964,.,-,.,534
vnz_01955,133.9567,3.1201422,0.8905992,3.5034191,0.0004593,0.0028739,CP018074.1,436207,436208,TSS_00388,32,+,CP018074.1,Genbank,gene,437917,439257,.,-,.,1709
vnz_01955,133.9567,3.1201422,0.8905992,3.5034191,0.0004593,0.0028739,CP018074.1,436275,436276,TSS_00389,1271,+,CP018074.1,Genbank,gene,437917,439257,.,-,.,1641
vnz_02620,195.18305,2.5581547,0.8924306,2.8665027,0.0041503,0.018846,CP018074.1,632665,632666,TSS_00471,61,-,CP018074.1,Genbank,gene,629846,630325,.,+,.,2341
vnz_02620,195.18305,2.5581547,0.8924306,2.8665027,0.0041503,0.018846,CP018074.1,632545,632546,TSS_00470,59,-,CP018074.1,Genbank,gene,629846,630325,.,+,.,2221
vnz_02640,870.04131,6.2166891,0.4883122,12.730972,3.98e-37,1.62e-34,CP018074.1,633587,633588,TSS_00480,54,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,566
vnz_02640,870.04131,6.2166891,0.4883122,12.730972,3.98e-37,1.62e-34,CP018074.1,632961,632962,TSS_00476,33,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1192
vnz_02640,870.04131,6.2166891,0.4883122,12.730972,3.98e-37,1.62e-34,CP018074.1,632804,632805,TSS_00474,166,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1349
vnz_02640,870.04131,6.2166891,0.4883122,12.730972,3.98e-37,1.62e-34,CP018074.1,632681,632682,TSS_00472,193,+,CP018074.1,Genbank,gene,634154,635680,.,-,.,1472
vnz_02645,269.19006,6.1478447,0.6500552,9.4574195,3.16e-21,2.23e-19,CP018074.1,635821,635822,TSS_00490,55,+,CP018074.1,Genbank,gene,635677,636300,.,-,.,1
vnz_02650,195.60331,5.1144213,0.6380275,8.0159886,1.09e-15,4.18e-14,CP018074.1,635821,635822,TSS_00490,55,+,CP018074.1,Genbank,gene,636281,636637,.,-,.,459
vnz_02660,1294.7454,7.2942034,0.5128929,14.221689,6.72e-46,5.47e-43,CP018074.1,637071,637072,TSS_00539,40,+,CP018074.1,Genbank,gene,637043,638545,.,-,.,1
vnz_02665,64.120886,4.3232616,0.8828065,4.897179,9.72e-07,1.04e-05,CP018074.1,637071,637072,TSS_00539,40,+,CP018074.1,Genbank,gene,638865,640229,.,-,.,1793
vnz_02915,171.98688,-4.9330628,0.4452037,-11.080461,1.56e-28,2.54e-26,CP018074.1,702535,702536,TSS_00609,276,+,CP018074.1,Genbank,gene,702440,706429,.,-,.,1
vnz_02920,52.486714,-3.3995089,0.4921157,-6.9079469,4.92e-12,1.22e-10,CP018074.1,702535,702536,TSS_00609,276,+,CP018074.1,Genbank,gene,706873,707982,.,-,.,4337
vnz_03525,141.89096,2.4257039,0.3579965,6.7757757,1.24e-11,2.94e-10,CP018074.1,844741,844742,TSS_00747,49,+,CP018074.1,Genbank,gene,845531,847066,.,-,.,789
vnz_03525,141.89096,2.4257039,0.3579965,6.7757757,1.24e-11,2.94e-10,CP018074.1,842245,842246,TSS_00744,40,+,CP018074.1,Genbank,gene,845531,847066,.,-,.,3285
vnz_03525,141.89096,2.4257039,0.3579965,6.7757757,1.24e-11,2.94e-10,CP018074.1,844856,844857,TSS_00749,305,+,CP018074.1,Genbank,gene,845531,847066,.,-,.,674
vnz_03525,141.89096,2.4257039,0.3579965,6.7757757,1.24e-11,2.94e-10,CP018074.1,843030,843031,TSS_00745,2621,+,CP018074.1,Genbank,gene,845531,847066,.,-,.,2500
vnz_03955,187.06901,-2.5690623,0.3576718,-7.1827359,6.83e-13,1.95e-11,CP018074.1,949097,949098,TSS_00829,33,-,CP018074.1,Genbank,gene,949076,950101,.,+,.,1
vnz_04045,612.02596,3.9421214,0.3114979,12.655371,1.04e-36,3.78e-34,CP018074.1,965722,965723,TSS_00847,1541,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,553
vnz_04045,612.02596,3.9421214,0.3114979,12.655371,1.04e-36,3.78e-34,CP018074.1,965762,965763,TSS_00850,48,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,593
vnz_04045,612.02596,3.9421214,0.3114979,12.655371,1.04e-36,3.78e-34,CP018074.1,965733,965734,TSS_00849,324,-,CP018074.1,Genbank,gene,964694,965170,.,+,.,564
vnz_04050,62.473601,2.2012654,0.7101672,3.0996438,0.0019375,0.0101355,CP018074.1,964451,964452,TSS_00844,20909,+,CP018074.1,Genbank,gene,965238,965675,.,-,.,786
vnz_04050,62.473601,2.2012654,0.7101672,3.0996438,0.0019375,0.0101355,CP018074.1,963183,963184,TSS_00842,56,+,CP018074.1,Genbank,gene,965238,965675,.,-,.,2054
vnz_04175,79.946852,8.0537038,0.8585772,9.3802904,6.58e-21,4.46e-19,CP018074.1,987314,987315,TSS_00867,45,+,CP018074.1,Genbank,gene,994750,995976,.,-,.,7435
vnz_04175,79.946852,8.0537038,0.8585772,9.3802904,6.58e-21,4.46e-19,CP018074.1,993371,993372,TSS_00869,688,+,CP018074.1,Genbank,gene,994750,995976,.,-,.,1378
vnz_04420,86.272376,6.0647952,0.7130441,8.5054978,1.81e-17,8.65e-16,CP018074.1,1041810,1041811,TSS_00912,899,+,CP018074.1,Genbank,gene,1043364,1044626,.,-,.,1553
vnz_04470,127.65835,4.9347955,0.7046125,7.0035597,2.5e-12,6.57e-11,CP018074.1,1057823,1057824,TSS_00915,97,-,CP018074.1,Genbank,gene,1056127,1057572,.,+,.,252
vnz_04475,270.69744,5.7504418,0.5638815,10.197962,2.02e-24,2.35e-22,CP018074.1,1057823,1057824,TSS_00915,97,-,CP018074.1,Genbank,gene,1057676,1059391,.,+,.,1
vnz_04570,56.280312,3.4113335,0.5241885,6.5078379,7.62e-11,1.59e-09,CP018074.1,1072261,1072262,TSS_00921,100,+,CP018074.1,Genbank,gene,1073466,1074692,.,-,.,1204
vnz_04645,321.96559,-3.4855313,0.3045665,-11.444239,2.51e-30,5.27e-28,CP018074.1,1085672,1085673,TSS_00933,2266,+,CP018074.1,Genbank,gene,1087252,1090137,.,-,.,1579
vnz_04645,321.96559,-3.4855313,0.3045665,-11.444239,2.51e-30,5.27e-28,CP018074.1,1085889,1085890,TSS_00934,138,+,CP018074.1,Genbank,gene,1087252,1090137,.,-,.,1362
vnz_04645,321.96559,-3.4855313,0.3045665,-11.444239,2.51e-30,5.27e-28,CP018074.1,1086873,1086874,TSS_00941,2921,+,CP018074.1,Genbank,gene,1087252,1090137,.,-,.,378
vnz_04645,321.96559,-3.4855313,0.3045665,-11.444239,2.51e-30,5.27e-28,CP018074.1,1086812,1086813,TSS_00938,562,+,CP018074.1,Genbank,gene,1087252,1090137,.,-,.,439
vnz_04645,321.96559,-3.4855313,0.3045665,-11.444239,2.51e-30,5.27e-28,CP018074.1,1085913,1085914,TSS_00935,293,+,CP018074.1,Genbank,gene,1087252,1090137,.,-,.,1338
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1106786,1106787,TSS_01100,149,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,15891
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1095237,1095238,TSS_00958,161,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,4342
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1094629,1094630,TSS_00957,42,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,3734
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1100587,1100588,TSS_00977,6992,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,9692
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1106689,1106690,TSS_01099,105,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,15794
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1098957,1098958,TSS_00970,37,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,8062
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1093114,1093115,TSS_00951,120,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,2219
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1095649,1095650,TSS_00964,646,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,4754
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1101181,1101182,TSS_00980,417,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,10286
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1095806,1095807,TSS_00966,580,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,4911
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1095527,1095528,TSS_00960,709,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,4632
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1093753,1093754,TSS_00955,3526,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,2858
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1106923,1106924,TSS_01104,1359,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,16028
vnz_04650,328.27444,3.1930344,0.6294879,5.0724314,3.93e-07,4.48e-06,CP018074.1,1097160,1097161,TSS_00968,64,-,CP018074.1,Genbank,gene,1090531,1090896,.,+,.,6265
